	Laghumadhyandiniya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	laghumadhyandina_shiksha
	Parashariya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	parashara_shiksha
	Pratishakhyapradipa Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	pratishakhyapradipa_shiksha
	Manahsvara Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	manahsvara_shiksha
	Mallasarma Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	mallasharma_shiksha
	Mandavya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	mandavya_shiksha.pdf
	Yajurvidhana Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	Link not working
	Yajnavalkya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	yagyavalkya_shiksha
	Vasishthi Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	vasishthi3_shiksha
	Vedaparibhasasutra Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	vedaparibhashasutra_shiksha
	Vedaparibhasakarika Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	vedaparibhashakarika_shiksha
	Shodashashloki Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	shodashashloki_shiksha
	Svarabhaktilakshanaparishishta Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	Link not working
	Svarashtaka Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	svarashtaka_shiksha
	Padakarikaratnamala	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Upsiksha	Devanagari	padakarikaratnamala
	Padachandrika	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Upsiksha	Devanagari	Link not working
	Pratijna Sutram	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Upsiksha	Devanagari	pratijna_sutram
	Visargangulipradarshnaprakarah	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Upsiksha	Devanagari	Link not working
	Atreya Siksha (Hamburg)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	atreya1_shiksha
	Atreya Siksha (Chandigarh)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	atreya_shiksha_chandigarh
	Atreya Siksha (Madras)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	atreya2_shiksha
	Apishali Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	apishali_shiksha
	Aryana Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	aranya_shiksha
	Kalanirnya Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	kalanirnaya_shiksha
	Kaundinya Siksha (Hyderabad)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	kaundinya_shiksha
	Kaundinya Siksha (Mysore)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	kaundinya_mysore_shiksha
	Kauhaliya Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	kauhaliya_shiksha
	Carayaniya Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	carayaniya_shiksha
	Bharadvaja Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	bharadvaja_shiksha
	Pari Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	pari_shiksha
	Pluta Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	link not working
	Lakshmikanta Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	lakshmikanta_shiksha
	Lakshmikanta Siksha 2	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	lakshmikanta_shiksha_2
	Laugakshi Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	laugakshi_shiksha
	Vararuci Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	vararuchi_shiksha
	Vasishtha Siksha (Tirupati)	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	vasishtha2_shiksha
	Vasishtha Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	vasishtha1_shiksha
	Veda Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	Veda_Shiksha
	Vyasa Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	vyasa_shiksha
	Shambhu Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	shambhu_shiksha
	Siksasamuccaya	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	Link not working
	Syamayaniya Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	shyamayaniya_shiksha
	Sarvasammata Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	sarvasammata_shiksha
	Siddhanta Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	siddhanta_shiksha
	Svara Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	svara_shiksha
	Svarasarabhutavarnakrama Siksha	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Siksha	Devanagari	svarasarabhutavarnakrama_shiksha
	Samana	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Samana
	Vilanghya	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Vilanghya
	Napara	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Napara
	Tapara 	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Tapara 
	Avarni	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Avarni
	Aavarni	Krishna Yahur Ved Siksha			Samskrit	Siksha/Krishna Yahur Ved Upsiksha	Devanagari	Aavarni
